,date,state,n_killed,n_injured
165005,2017-01-03,Wisconsin,0,0
165006,2017-01-03,Maryland,1,1
165007,2017-01-03,Florida,0,0
165008,2017-01-03,Texas,1,0
165009,2017-01-03,California,1,0
165010,2017-01-03,Ohio,0,0
165011,2017-01-03,North Carolina,0,1
165012,2017-01-03,South Carolina,0,0
165013,2017-01-03,Pennsylvania,0,1
165014,2017-01-03,Texas,0,1
165015,2017-01-03,Arkansas,0,0
165016,2017-01-03,Illinois,0,1
165017,2017-01-03,Florida,0,0
165018,2017-01-03,Michigan,1,0
165019,2017-01-03,South Dakota,0,1
165020,2017-01-03,Arkansas,1,0
165021,2017-01-03,Illinois,0,0
165022,2017-01-03,Louisiana,0,0
165023,2017-01-03,Georgia,0,1
165024,2017-01-03,Virginia,0,1
165025,2017-01-03,Illinois,0,1
165026,2017-01-03,Ohio,1,0
165027,2017-01-03,Tennessee,0,1
165028,2017-01-03,Mississippi,0,1
165029,2017-01-03,Louisiana,1,0
165030,2017-01-03,Mississippi,0,0
165031,2017-01-03,New Mexico,0,1
165032,2017-01-03,Missouri,0,0
165033,2017-01-03,Indiana,0,0
165034,2017-01-03,Kentucky,0,1
165035,2017-01-03,Mississippi,1,1
165036,2017-01-03,Kentucky,0,0
165037,2017-01-03,California,0,1
165038,2017-01-03,California,0,0
165039,2017-01-03,Oklahoma,1,0
165040,2017-01-03,Tennessee,0,2
165041,2017-01-03,Louisiana,0,0
165042,2017-01-03,Illinois,0,0
165043,2017-01-03,Illinois,0,1
165044,2017-01-03,Indiana,0,1
165045,2017-01-03,Alabama,0,0
165046,2017-01-03,Illinois,1,0
165047,2017-01-03,Texas,1,0
165048,2017-01-03,Missouri,1,0
165049,2017-01-03,Louisiana,0,0
165050,2017-01-03,Texas,0,1
165051,2017-01-03,Illinois,0,1
165052,2017-01-03,Illinois,2,1
165053,2017-01-03,Washington,0,2
165054,2017-01-03,Illinois,0,1
165055,2017-01-03,Louisiana,0,0
165056,2017-01-03,Louisiana,0,0
165057,2017-01-03,Texas,1,0
165058,2017-01-03,Ohio,0,0
165059,2017-01-03,Wisconsin,1,1
165060,2017-01-03,Minnesota,0,2
165061,2017-01-03,New Mexico,1,0
165062,2017-01-03,Virginia,1,0
165063,2017-01-03,Michigan,1,1
165064,2017-01-03,Illinois,0,2
165065,2017-01-03,Tennessee,0,0
165066,2017-01-03,Texas,0,1
165067,2017-01-03,Georgia,0,0
165068,2017-01-03,New Jersey,0,1
165069,2017-01-03,Illinois,0,1
165070,2017-01-03,Illinois,0,0
165071,2017-01-03,Illinois,0,0
165072,2017-01-03,Illinois,2,0
165073,2017-01-03,Georgia,0,1
165074,2017-01-03,Virginia,0,1
165075,2017-01-03,Louisiana,0,0
165076,2017-01-03,Virginia,0,1
165077,2017-01-03,South Carolina,0,0
165078,2017-01-03,Hawaii,0,0
165079,2017-01-03,South Carolina,0,0
165080,2017-01-03,Pennsylvania,1,0
165081,2017-01-03,Louisiana,0,0
165082,2017-01-03,South Carolina,0,1
165083,2017-01-03,Ohio,0,1
165084,2017-01-03,Illinois,0,0
165085,2017-01-03,Michigan,1,0
165086,2017-01-03,New Jersey,1,0
165087,2017-01-03,Pennsylvania,0,1
165088,2017-01-03,New Jersey,0,0
165089,2017-01-03,Virginia,0,1
165090,2017-01-03,California,0,1
165091,2017-01-03,Kentucky,0,1
165092,2017-01-03,Florida,0,0
165093,2017-01-03,Texas,1,1
165094,2017-01-03,New Jersey,0,0
165095,2017-01-03,Wisconsin,0,0
165096,2017-01-03,Illinois,1,0
165097,2017-01-03,Florida,0,0
165098,2017-01-03,Virginia,0,0
165099,2017-01-03,Florida,0,0
165100,2017-01-03,Illinois,0,1
165101,2017-01-03,Florida,0,0
165102,2017-01-03,Florida,0,0
165103,2017-01-03,Georgia,0,1
165104,2017-01-03,Indiana,0,0
165105,2017-01-03,New York,0,1
165106,2017-01-03,Georgia,0,2
165107,2017-01-03,Alabama,1,0
165108,2017-01-03,Iowa,0,0
165110,2017-01-03,New York,0,0
165111,2017-01-03,New York,0,1
165112,2017-01-03,New York,1,0
165113,2017-01-03,Rhode Island,0,1
165114,2017-01-03,North Carolina,0,1
165115,2017-01-03,New Jersey,0,1
165116,2017-01-03,Florida,0,0
165117,2017-01-03,New Jersey,0,1
165118,2017-01-03,Maryland,0,1
165119,2017-01-03,Michigan,0,1
165120,2017-01-03,Illinois,0,1
165121,2017-01-03,Florida,1,0
165122,2017-01-03,Alabama,0,0
165123,2017-01-03,Indiana,1,0
165124,2017-01-03,Texas,0,0
165125,2017-01-03,North Carolina,1,0
165126,2017-01-03,Kentucky,0,1
165127,2017-01-03,Pennsylvania,0,1
165128,2017-01-03,Illinois,0,1
165129,2017-01-03,Louisiana,1,0
165130,2017-01-03,Virginia,0,1
165131,2017-01-03,Illinois,0,1
165132,2017-01-03,Georgia,0,1
165133,2017-01-03,Virginia,0,2
165134,2017-01-03,California,1,0
165135,2017-01-03,Illinois,1,0
165136,2017-01-03,California,0,0
165137,2017-01-03,Florida,0,0
165138,2017-01-03,Delaware,0,1
165139,2017-01-03,District of Columbia,0,1
165140,2017-01-03,Maryland,0,0
165141,2017-01-03,California,0,0
165142,2017-01-03,Indiana,0,0
165143,2017-01-03,Texas,0,0
165144,2017-01-03,North Dakota,0,0
165145,2017-01-03,Florida,0,0
165146,2017-01-03,Florida,0,0
165147,2017-01-03,Florida,0,0
165148,2017-01-03,Washington,1,0
165149,2017-01-03,Illinois,0,1
165150,2017-01-03,Florida,0,0
165151,2017-01-03,Florida,0,0
165152,2017-01-03,Florida,0,0
165153,2017-01-03,Florida,0,0
165154,2017-01-03,Florida,0,0
165155,2017-01-03,Florida,0,0
165156,2017-01-03,Florida,0,0
165157,2017-01-03,Florida,0,0
165158,2017-01-03,Oregon,4,0
165159,2017-01-03,Florida,0,0
165160,2017-01-03,Texas,0,0
165161,2017-01-03,Louisiana,0,1
165162,2017-01-03,Florida,0,1
165163,2017-01-03,Utah,0,1
165164,2017-01-03,New York,0,0
165165,2017-01-03,Pennsylvania,1,1
165166,2017-01-03,Pennsylvania,1,0
165167,2017-01-03,Nebraska,0,0
165168,2017-01-03,Florida,0,0
165169,2017-01-03,Ohio,2,0
165170,2017-01-03,Washington,0,1
165171,2017-01-03,Arkansas,2,1
165172,2017-01-03,Connecticut,0,0
165173,2017-01-03,New York,0,0
165174,2017-01-03,South Carolina,0,1
165175,2017-01-03,Pennsylvania,0,1
165176,2017-01-03,Massachusetts,0,0
165177,2017-01-03,Connecticut,0,0
165178,2017-01-03,Colorado,0,1
165179,2017-01-03,Oregon,0,0
165180,2017-01-03,Nebraska,0,0
165181,2017-01-03,Minnesota,0,1
165182,2017-01-03,Wisconsin,0,0
165183,2017-01-03,Indiana,0,0
165184,2017-01-03,Alabama,0,2
165185,2017-01-03,New Jersey,0,1
165186,2017-01-03,Texas,0,1
165187,2017-01-03,Mississippi,0,1
165188,2017-01-03,Texas,0,1
165189,2017-01-03,Texas,0,4
165190,2017-01-03,Indiana,2,0
165191,2017-01-03,Kentucky,0,2
165192,2017-01-03,Louisiana,0,2
165193,2017-01-04,Iowa,0,0
165194,2017-01-04,California,1,0
165195,2017-01-04,New York,0,0
165196,2017-01-04,Alabama,0,1
165197,2017-01-04,California,1,0
165198,2017-01-04,Mississippi,1,0
165199,2017-01-04,Texas,0,0
165200,2017-01-04,Ohio,1,0
165201,2017-01-04,Arkansas,0,0
165202,2017-01-04,Virginia,0,2
165203,2017-01-04,Oklahoma,0,0
165204,2017-01-04,North Carolina,0,0
165205,2017-01-04,Illinois,0,1
165206,2017-01-04,Illinois,0,0
165207,2017-01-04,Georgia,0,0
165208,2017-01-04,California,3,1
165209,2017-01-04,Pennsylvania,1,0
165210,2017-01-04,Indiana,1,0
165211,2017-01-04,Alabama,0,0
165212,2017-01-04,West Virginia,0,0
165213,2017-01-04,Illinois,0,0
165214,2017-01-04,Oklahoma,1,0
